"Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","ReportingNode","Scenario"
"2011",NA,241,NA,NA,1,387.293410258686,3,0.0443885861006709,66,4739.6155,175,114,157.99125,191.7376,61,NA,124.5,79,NA,5,1,20773.42774,7263.6584,16851.25722,NA,2,1,"LA1",0
"2012",164,244,133.7167,142.21384,8,6033.68681129854,4,0.0164536498941809,32,1194.3048,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20773.42774,7263.6584,16851.25722,NA,NA,NA,"LA1",0
"2013",151,350,113.6169,155.382,3,1621.91707706386,10,0.0114444085265533,129,1622.6795,221,179,157.3589,181.3112,42,NA,NA,NA,NA,NA,NA,20773.42774,7263.6584,16851.25722,NA,NA,NA,"LA1",0
"2014",201,214,122.3795,132.6174,2,235.259765007136,8,0.0153653364189182,60,11412.3905,154,19,135.57198,139.9433,135,NA,150,NA,NA,1,NA,20773.42774,7263.6584,16851.25722,NA,1,NA,"LA1",0
"2015",194,239,125.78185,136.63141,4,1386.69617370721,31,0.0344763653978758,10,1547.9899,229,180,116.72531,130.53875,49,NA,72,NA,NA,1,NA,20773.42774,7263.6584,16851.25722,NA,1,NA,"LA1",0
"2016",206,231,123.03005,185.2311,6,558.73974906639,4,0.0310142241316637,37,634.7113,194,127,118.44544,134.0262,67,NA,NA,NA,NA,NA,NA,20773.42774,7263.6584,16851.25722,NA,NA,NA,"LA1",0
"2017",209,228,149.0148,184.73862,3,764.670769963913,16,0.0234420125335671,85,14182.9372,143,72,128.66576,222.7376,71,113,113,113,1,3,1,20773.42774,7263.6584,16851.25722,1,3,1,"LA1",0
"2011",NA,274,NA,NA,1,288.505341633213,3,0.0502221141674749,100,11766.3897,174,128,111.92441,148.24825,46,170,124.5,170,1,2,1,9415.75554,3766.0829,7796.9807,1,2,1,"LA11",0
"2012",178,223,87.76835,91.99355,1,2152.06074688252,4,0.0526510102923056,24,2936.284,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9415.75554,3766.0829,7796.9807,NA,NA,NA,"LA11",0
"2013",200,301,93.88045,101.57332,3,307.452854328661,10,0.0127895631522417,80,955.3668,221,186,98.1773,115.95165,35,NA,NA,NA,NA,NA,NA,9415.75554,3766.0829,7796.9807,NA,NA,NA,"LA11",0
"2014",63,351,80.8519,85.2644,2,209.060995098537,8,0.0138785867223464,197,7590.2391,154,19,99.61968,104.1816,135,NA,150,NA,NA,1,NA,9415.75554,3766.0829,7796.9807,NA,1,NA,"LA11",0
"2015",193,238,80.6965,92.8214,4,601.931017810541,31,0.0392610172604552,9,672.5345,229,181,77.5317,89.692,48,NA,72,NA,NA,1,NA,9415.75554,3766.0829,7796.9807,NA,1,NA,"LA11",0
"2016",203,229,72.2591,78.599,2,288.372713833654,4,0.0305384070438215,34,381.5251,195,130,72.93673,80.16635,65,NA,NA,NA,NA,NA,NA,9415.75554,3766.0829,7796.9807,NA,NA,NA,"LA11",0
"2017",152,280,74.97535,82.77271,3,336.871570930777,16,0.0178977294916154,137,7848.6661,143,77,87.2928,117.1974,66,NA,113,139,NA,3,1,9415.75554,3766.0829,7796.9807,NA,3,1,"LA11",0
"2011",NA,273,NA,NA,1,253.496209362274,3,0.0470306907335133,99,11526.6918,174,128,85.13018,122.59055,46,170,124.5,170,1,2,1,9189.38316,3632.2664,7576.39464,1,2,1,"LA13",0
"2012",179,222,70.4648,74.22698,1,2042.54067736829,4,0.063998730324447,23,2853.0023,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9189.38316,3632.2664,7576.39464,NA,NA,NA,"LA13",0
"2013",199,300,77.1979,82.40504,3,265.765288146568,10,0.00459645174631263,79,912.6175,221,186,78.9611,92.67445,35,NA,NA,NA,NA,NA,NA,9189.38316,3632.2664,7576.39464,NA,NA,NA,"LA13",0
"2014",59,354,63.1314,68.69994,3,188.501686886159,8,0.00848213670289246,200,7357.2636,154,21,79.4938,82.3102,133,NA,150,NA,NA,1,NA,9189.38316,3632.2664,7576.39464,NA,1,NA,"LA13",0
"2015",194,237,65.02265,73.88809,2,548.750915822216,31,0.0504013280873686,8,620.4147,229,182,62.58337,71.927,47,NA,72,NA,NA,1,NA,9189.38316,3632.2664,7576.39464,NA,1,NA,"LA13",0
"2016",205,229,58.564,61.95604,2,252.639584873501,4,0.00836787300890848,34,354.9764,195,130,55.79134,63.36175,65,NA,NA,NA,NA,NA,NA,9189.38316,3632.2664,7576.39464,NA,NA,NA,"LA13",0
"2017",274,160,62.06165,69.21565,4,313.797751892659,16,0.0289484536504807,17,7631.1774,143,75,75.66506,100.953,68,NA,113,139,NA,3,1,9189.38316,3632.2664,7576.39464,NA,3,1,"LA13",0
"2011",NA,272,NA,NA,1,213.830859658225,3,0.0496250659358753,98,10973.4428,174,128,81.1087,114.96925,46,170,124.5,170,1,2,1,8756.48324,3369.5559,7201.54226,1,2,1,"LA14",0
"2012",87,314,70.9989,73.3925,1,1908.88844595719,4,0.0198365240624715,115,2726.7412,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8756.48324,3369.5559,7201.54226,NA,NA,NA,"LA14",0
"2013",197,301,75.6208,81.27336,3,170.673065250078,10,0.00481153729266308,80,859.47,221,186,77.1224,90.70285,35,NA,NA,NA,NA,NA,NA,8756.48324,3369.5559,7201.54226,NA,NA,NA,"LA14",0
"2014",57,356,62.2942,67.03464,3,171.448124131701,8,0.00847173025632776,202,6893.6705,154,22,76.42469,79.5644,132,NA,150,NA,NA,1,NA,8756.48324,3369.5559,7201.54226,NA,1,NA,"LA14",0
"2015",194,237,63.5381,73.5936,3,479.881022420895,31,0.0181312209268902,82,1580.4465,155,108,66.79721,75.2676,47,NA,72,NA,NA,1,NA,8756.48324,3369.5559,7201.54226,NA,1,NA,"LA14",0
"2016",204,229,56.6025,60.02681,2,225.610789902283,4,0.00670024164805937,34,331.8458,195,130,54.28675,61.3732,65,NA,NA,NA,NA,NA,NA,8756.48324,3369.5559,7201.54226,NA,NA,NA,"LA14",0
"2017",274,159,61.00655,67.45858,3,302.699668335158,16,0.0273393764223733,16,7278.5102,143,76,71.37825,95.5299,67,NA,113,139,NA,3,1,8756.48324,3369.5559,7201.54226,NA,3,1,"LA14",0
"2011",NA,241,NA,NA,1,387.290481953552,3,0.0442744894751115,66,4726.3898,175,114,157.98963,191.7376,61,NA,124.5,79,NA,5,1,20465.10708,7172.8921,16706.12674,NA,2,1,"LA2",0
"2012",164,244,133.7167,142.21384,8,6028.09895039249,4,0.0164044995461387,32,1189.179,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20465.10708,7172.8921,16706.12674,NA,NA,NA,"LA2",0
"2013",151,350,113.6169,155.3801,3,1613.96412944712,10,0.0114444085265533,129,1616.297,221,179,157.3589,181.3112,42,NA,NA,NA,NA,NA,NA,20465.10708,7172.8921,16706.12674,NA,NA,NA,"LA2",0
"2014",201,214,122.3795,132.6174,2,235.242042983522,8,0.0153571492839837,60,11378.0105,154,19,135.57198,139.9433,135,NA,150,NA,NA,1,NA,20465.10708,7172.8921,16706.12674,NA,1,NA,"LA2",0
"2015",194,239,125.78185,136.63141,4,1382.95791091087,31,0.0344763653978758,10,1539.5947,229,180,116.72531,130.52875,49,NA,72,NA,NA,1,NA,20465.10708,7172.8921,16706.12674,NA,1,NA,"LA2",0
"2016",206,231,123.03005,185.2311,6,558.2580736125,4,0.0310142241316637,37,634.1885,194,127,118.44544,134.0262,67,NA,NA,NA,NA,NA,NA,20465.10708,7172.8921,16706.12674,NA,NA,NA,"LA2",0
"2017",209,228,149.0148,184.73862,3,760.905420351589,16,0.0234420125335671,85,13947.6957,143,72,128.66576,222.40145,71,113,113,113,1,3,1,20465.10708,7172.8921,16706.12674,1,3,1,"LA2",0
"2011",NA,293,NA,NA,3,344.133556330916,5,0.0921777817127427,119,3901.1024,174,113,10.362,22.6965,61,170,124.5,170,1,2,1,3631.55216,1282.6836,3238.99434,1,2,1,"LA20",0
"2012",175,222,8.1647,10.04312,3,663.087698737894,4,0.149899919406539,23,1176.1255,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3631.55216,1282.6836,3238.99434,NA,NA,NA,"LA20",0
"2013",154,335,6.0762,11.94867,3,37.1097542463729,10,0.0833195258250613,114,286.7659,221,190,4.91594,12.42825,31,NA,NA,NA,NA,NA,NA,3631.55216,1282.6836,3238.99434,NA,NA,NA,"LA20",0
"2014",107,305,6.5077,8.60806,3,9.70442681079848,8,0.0809026845732957,151,2387.5637,154,31,10.8625,14.7659,123,NA,150,NA,NA,1,NA,3631.55216,1282.6836,3238.99434,NA,1,NA,"LA20",0
"2015",127,305,0.9762,3.0893,4,128.354044584206,30,0.222979136584784,150,622.4168,155,109,6.75362,12.6474,46,NA,72,NA,NA,1,NA,3631.55216,1282.6836,3238.99434,NA,1,NA,"LA20",0
"2016",192,245,2.6432,5.90571,2,54.1485794280013,4,0.136221713402123,50,121.1407,195,129,1.2496,6.1618,66,NA,NA,NA,NA,NA,NA,3631.55216,1282.6836,3238.99434,NA,NA,NA,"LA20",0
"2017",230,207,2.59255,6.73649,2,135.332674978134,16,0.118053050525455,64,3451.852,143,72,0.18259,28.90275,71,NA,113,139,NA,3,1,3631.55216,1282.6836,3238.99434,NA,3,1,"LA20",0
"2011",NA,255,NA,NA,3,501.246408813751,5,0.0435410926081227,81,6441.0673,174,113,33.85364,47.9259,61,170,124.5,170,1,2,1,5429.49208,1971.0187,4578.11552,1,2,1,"LA20_2",0
"2012",178,221,35.52845,38.52517,3,1040.93948429378,4,0.0479747597187689,22,1665.8224,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5429.49208,1971.0187,4578.11552,NA,NA,NA,"LA20_2",0
"2013",165,333,30.773,36.92262,6,93.0401623612807,10,0.0264720338446414,112,506.0871,221,188,24.59648,36.1593,33,NA,NA,NA,NA,NA,NA,5429.49208,1971.0187,4578.11552,NA,NA,NA,"LA20_2",0
"2014",125,287,33.3681,36.07726,4,47.0254526446397,8,0.0247047256614455,133,3870.1432,154,22,36.76118,42.149,132,NA,150,NA,NA,1,NA,5429.49208,1971.0187,4578.11552,NA,1,NA,"LA20_2",0
"2015",194,239,23.40355,26.24603,5,199.702279534982,30,0.0323539646021884,84,961.8899,155,109,14.36898,37.9363,46,NA,72,NA,NA,1,NA,5429.49208,1971.0187,4578.11552,NA,1,NA,"LA20_2",0
"2016",200,236,27.9626,31.74904,3,79.8335734550372,4,0.0242225798349814,41,194.8077,195,128,23.93206,29.4677,67,NA,NA,NA,NA,NA,NA,5429.49208,1971.0187,4578.11552,NA,NA,NA,"LA20_2",0
"2017",227,209,27.5091,31.92958,2,212.709556832496,16,0.0293217031336099,66,4755.1086,143,73,25.6772,57.1234,70,NA,113,139,NA,3,1,5429.49208,1971.0187,4578.11552,NA,3,1,"LA20_2",0
"2011",NA,258,NA,NA,1,384.41174883126,3,0.0403171351761288,83,4290.0732,175,114,157.18609,183.2393,61,NA,124.5,79,NA,5,1,18241.10646,6291.9491,14704.03884,NA,2,1,"LA3",0
"2012",166,242,131.7745,140.0917,8,5733.51730820025,4,0.0179511710795525,30,992.6716,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18241.10646,6291.9491,14704.03884,NA,NA,NA,"LA3",0
"2013",150,351,111.99625,153.027,3,1398.42288323462,10,0.0136306726925521,130,1531.2912,221,179,148.57696,172.6906,42,NA,NA,NA,NA,NA,NA,18241.10646,6291.9491,14704.03884,NA,NA,NA,"LA3",0
"2014",201,214,122.3795,132.6174,2,233.036844191126,8,0.0146563083623515,60,10640.6266,154,19,135.57158,139.9433,135,NA,150,NA,NA,1,NA,18241.10646,6291.9491,14704.03884,NA,1,NA,"LA3",0
"2015",195,238,125.6936,136.127,4,1218.06803476273,31,0.0380815072900764,9,1405.2261,229,180,116.72531,129.92735,49,NA,72,NA,NA,1,NA,18241.10646,6291.9491,14704.03884,NA,1,NA,"LA3",0
"2016",205,232,122.9373,183.55652,6,526.533338345128,4,0.0242969855124779,38,575.0394,194,127,117.90862,133.7269,67,NA,NA,NA,NA,NA,NA,18241.10646,6291.9491,14704.03884,NA,NA,NA,"LA3",0
"2017",209,228,148.7506,183.46724,3,617.440209438742,16,0.0220731234714677,85,12611.2537,143,72,127.37127,191.94935,71,113,113,113,1,3,1,18241.10646,6291.9491,14704.03884,1,3,1,"LA3",0
"2011",NA,271,NA,NA,1,340.222942724221,3,0.0474769927808996,97,12611.5147,174,128,126.19032,153.51315,46,170,82,170,1,3,1,10237.24192,4517.7136,8632.377,1,3,1,"LA8",0
"2012",177,224,102.7209,108.20968,1,2726.61979852407,4,0.0370897179947218,25,3192.2843,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10237.24192,4517.7136,8632.377,NA,NA,NA,"LA8",0
"2013",200,301,102.081,119.5296,3,586.041336298561,10,0.0117072065266657,80,1141.2452,221,186,109.0196,127.42185,35,NA,NA,NA,NA,NA,NA,10237.24192,4517.7136,8632.377,NA,NA,NA,"LA8",0
"2014",201,213,98.9954,102.6892,2,216.528314311304,8,0.0160624755029577,59,8544.3114,154,19,113.25488,117.4498,135,NA,150,NA,NA,1,NA,10237.24192,4517.7136,8632.377,NA,1,NA,"LA8",0
"2015",194,238,97.4795,107.74945,4,755.328948682725,31,0.0339093296224975,9,980.6434,229,181,94.2283,103.6113,48,NA,72,NA,NA,1,NA,10237.24192,4517.7136,8632.377,NA,1,NA,"LA8",0
"2016",204,230,90.8415,115.50987,2,405.495103250262,4,0.0225532755923998,35,460.3696,195,129,90.73484,98.776,66,NA,NA,NA,NA,NA,NA,10237.24192,4517.7136,8632.377,NA,NA,NA,"LA8",0
"2017",204,230,100.8475,115.50987,3,398.000698425125,16,0.016969881955125,87,8654.3934,143,75,102.63494,135.2494,68,NA,113,139,NA,3,1,10237.24192,4517.7136,8632.377,NA,3,1,"LA8",0
