"p10","p25","p50","p75","p90","metric","comid","result_type","source2","ReportingNode"
117.585375,121.00052,132.11887,151.91217,157.675075,"Wet_BFL_Mag_10",22518274,"observed","SWMM
","LA1"
132.282475,135.505475,160.62725,189.131,207.2376,"Wet_BFL_Mag_50",22518274,"observed","SWMM
","LA1"
45.5,52,64,70,103,"Wet_Tim",22518274,"observed","SWMM
","LA1"
113,113,113,113,113,"Peak_Tim_10",22518274,"observed","SWMM
","LA1"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22518274,"observed","SWMM
","LA1"
82.4,87.5,96,104.5,109.6,"Peak_Tim_5",22518274,"observed","SWMM
","LA1"
1,1,1,1,1,"Peak_Dur_10",22518274,"observed","SWMM
","LA1"
1,1,2,3.5,4.4,"Peak_Dur_2",22518274,"observed","SWMM
","LA1"
1,1,1,1,1,"Peak_Dur_5",22518274,"observed","SWMM
","LA1"
20773.42774,20773.42774,20773.42774,20773.42774,20773.42774,"Peak_10",22518274,"observed","SWMM
","LA1"
7263.6584,7263.6584,7263.6584,7263.6584,7263.6584,"Peak_2",22518274,"observed","SWMM
","LA1"
16851.25722,16851.25722,16851.25722,16851.25722,16851.25722,"Peak_5",22518274,"observed","SWMM
","LA1"
1,1,1,1,1,"Peak_Fre_10",22518274,"observed","SWMM
","LA1"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22518274,"observed","SWMM
","LA1"
1,1,1,1,1,"Peak_Fre_5",22518274,"observed","SWMM
","LA1"
107.5,158.5,185.5,198.25,201.5,"DS_Dur_WS",22515824,"observed","SWMM
","LA11"
226.6,233.5,274,290.5,321,"DS_Tim",22515824,"observed","SWMM
","LA11"
73.617225,76.4056375,80.7742,86.0392375,90.8244,"DS_Mag_50",22515824,"observed","SWMM
","LA11"
80.685855,83.3956325,88.628975,92.6144375,97.19736,"DS_Mag_90",22515824,"observed","SWMM
","LA11"
1,1.5,2,3,3.4,"FA_Dur",22515824,"observed","SWMM
","LA11"
256.648026339607,288.439027733433,307.452854328661,469.401294370659,1221.98290943933,"FA_Mag",22515824,"observed","SWMM
","LA11"
3.6,4,8,13,22,"FA_Tim",22515824,"observed","SWMM
","LA11"
0.0134429772943045,0.0158881581069809,0.0305384070438215,0.044741565713965,0.0511936726174071,"SP_ROC",22515824,"observed","SWMM
","LA11"
18,29,80,118.5,161,"SP_Dur",22515824,"observed","SWMM
","LA11"
556.13074,813.95065,2936.284,7719.4526,9415.75554,"SP_Mag",22515824,"observed","SWMM
","LA11"
149.6,164,195,210,224.2,"SP_Tim",22515824,"observed","SWMM
","LA11"
48,89.75,129,168.25,183.5,"Wet_BFL_Dur",22515824,"observed","SWMM
","LA11"
75.234215,79.971975,92.73505,99.259085,105.772045,"Wet_BFL_Mag_10",22515824,"observed","SWMM
","LA11"
84.929175,93.3144,110.066625,116.8859625,132.722825,"Wet_BFL_Mag_50",22515824,"observed","SWMM
","LA11"
40.5,46.5,56.5,65.75,100.5,"Wet_Tim",22515824,"observed","SWMM
","LA11"
170,170,170,170,170,"Peak_Tim_10",22515824,"observed","SWMM
","LA11"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22515824,"observed","SWMM
","LA11"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22515824,"observed","SWMM
","LA11"
1,1,1,1,1,"Peak_Dur_10",22515824,"observed","SWMM
","LA11"
1,1,1.5,2.25,2.7,"Peak_Dur_2",22515824,"observed","SWMM
","LA11"
1,1,1,1,1,"Peak_Dur_5",22515824,"observed","SWMM
","LA11"
9415.75554,9415.75554,9415.75554,9415.75554,9415.75554,"Peak_10",22515824,"observed","SWMM
","LA11"
3766.0829,3766.0829,3766.0829,3766.0829,3766.0829,"Peak_2",22515824,"observed","SWMM
","LA11"
7796.9807,7796.9807,7796.9807,7796.9807,7796.9807,"Peak_5",22515824,"observed","SWMM
","LA11"
1,1,1,1,1,"Peak_Fre_10",22515824,"observed","SWMM
","LA11"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22515824,"observed","SWMM
","LA11"
1,1,1,1,1,"Peak_Fre_5",22515824,"observed","SWMM
","LA11"
119,182.75,196.5,203.5,239.5,"DS_Dur_WS",22514960,"observed","SWMM
","LA13"
197.2,225.5,237,286.5,321.6,"DS_Tim",22514960,"observed","SWMM
","LA13"
60.312825,62.3290875,64.077025,69.1042625,73.83135,"DS_Mag_50",22514960,"observed","SWMM
","LA13"
65.32799,68.8288675,71.55187,74.1422575,78.31601,"DS_Mag_90",22514960,"observed","SWMM
","LA13"
1,1.5,2,3,3.4,"FA_Dur",22514960,"observed","SWMM
","LA13"
226.984425678564,253.067897117887,265.765288146568,431.274333857437,1146.26682044064,"FA_Mag",22514960,"observed","SWMM
","LA13"
3.6,4,8,13,22,"FA_Tim",22514960,"observed","SWMM
","LA13"
0.00685930450387014,0.00842500485590047,0.0289484536504807,0.0487160094104409,0.0558402889821999,"SP_ROC",22514960,"observed","SWMM
","LA13"
13.4,20,34,89,139.4,"SP_Dur",22514960,"observed","SWMM
","LA13"
514.23938,766.5161,2853.0023,7494.2205,9189.38316,"SP_Mag",22514960,"observed","SWMM
","LA13"
149.6,164,195,210,224.2,"SP_Tim",22514960,"observed","SWMM
","LA13"
48,88.25,129,169,184,"Wet_BFL_Dur",22514960,"observed","SWMM
","LA13"
59.187355,65.8537925,77.31308,79.360625,82.31199,"Wet_BFL_Mag_10",22514960,"observed","SWMM
","LA13"
67.644375,74.5228,87.492325,98.8833625,111.771775,"Wet_BFL_Mag_50",22514960,"observed","SWMM
","LA13"
40.5,46.25,56,67.25,100.5,"Wet_Tim",22514960,"observed","SWMM
","LA13"
170,170,170,170,170,"Peak_Tim_10",22514960,"observed","SWMM
","LA13"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22514960,"observed","SWMM
","LA13"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22514960,"observed","SWMM
","LA13"
1,1,1,1,1,"Peak_Dur_10",22514960,"observed","SWMM
","LA13"
1,1,1.5,2.25,2.7,"Peak_Dur_2",22514960,"observed","SWMM
","LA13"
1,1,1,1,1,"Peak_Dur_5",22514960,"observed","SWMM
","LA13"
9189.38316,9189.38316,9189.38316,9189.38316,9189.38316,"Peak_10",22514960,"observed","SWMM
","LA13"
3632.2664,3632.2664,3632.2664,3632.2664,3632.2664,"Peak_2",22514960,"observed","SWMM
","LA13"
7576.39464,7576.39464,7576.39464,7576.39464,7576.39464,"Peak_5",22514960,"observed","SWMM
","LA13"
1,1,1,1,1,"Peak_Fre_10",22514960,"observed","SWMM
","LA13"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22514960,"observed","SWMM
","LA13"
1,1,1,1,1,"Peak_Fre_5",22514960,"observed","SWMM
","LA13"
72,113.75,195.5,202.25,239,"DS_Dur_WS",22514960,"observed","SWMM
","LA14"
201,233,272,307.5,330.8,"DS_Tim",22514960,"observed","SWMM
","LA14"
58.804525,61.3284625,62.91615,69.1337,73.30985,"DS_Mag_50",22514960,"observed","SWMM
","LA14"
63.530725,67.140625,70.42554,73.543325,77.43348,"DS_Mag_90",22514960,"observed","SWMM
","LA14"
1,1.5,3,3,3,"FA_Dur",22514960,"observed","SWMM
","LA14"
171.138100579051,192.639491894963,225.610789902283,391.290345378027,1051.48399183541,"FA_Mag",22514960,"observed","SWMM
","LA14"
3.6,4,8,13,22,"FA_Tim",22514960,"observed","SWMM
","LA14"
0.00594475990590085,0.00758598595219357,0.0181312209268902,0.0235879502424224,0.0362536522277741,"SP_ROC",22514960,"observed","SWMM
","LA14"
26.8,57,82,106.5,149.8,"SP_Dur",22514960,"observed","SWMM
","LA14"
648.42032,1219.95825,2726.7412,7086.09035,8756.48324,"SP_Mag",22514960,"observed","SWMM
","LA14"
149.6,154.5,174,197,207.8,"SP_Tim",22514960,"observed","SWMM
","LA14"
49,84,118,129.5,158,"Wet_BFL_Dur",22514960,"observed","SWMM
","LA14"
60.54198,67.94247,73.90147,76.9479725,79.11555,"Wet_BFL_Mag_10",22514960,"observed","SWMM
","LA14"
68.3204,76.3418,85.133625,94.3231375,105.249575,"Wet_BFL_Mag_50",22514960,"observed","SWMM
","LA14"
40.5,46.25,56,66.5,99.5,"Wet_Tim",22514960,"observed","SWMM
","LA14"
170,170,170,170,170,"Peak_Tim_10",22514960,"observed","SWMM
","LA14"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22514960,"observed","SWMM
","LA14"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22514960,"observed","SWMM
","LA14"
1,1,1,1,1,"Peak_Dur_10",22514960,"observed","SWMM
","LA14"
1,1,1.5,2.25,2.7,"Peak_Dur_2",22514960,"observed","SWMM
","LA14"
1,1,1,1,1,"Peak_Dur_5",22514960,"observed","SWMM
","LA14"
8756.48324,8756.48324,8756.48324,8756.48324,8756.48324,"Peak_10",22514960,"observed","SWMM
","LA14"
3369.5559,3369.5559,3369.5559,3369.5559,3369.5559,"Peak_2",22514960,"observed","SWMM
","LA14"
7201.54226,7201.54226,7201.54226,7201.54226,7201.54226,"Peak_5",22514960,"observed","SWMM
","LA14"
1,1,1,1,1,"Peak_Fre_10",22514960,"observed","SWMM
","LA14"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22514960,"observed","SWMM
","LA14"
1,1,1,1,1,"Peak_Fre_5",22514960,"observed","SWMM
","LA14"
157.5,171.5,197.5,204.75,207.5,"DS_Dur_WS",22518274,"observed","SWMM
","LA2"
222.4,229.5,239,242.5,286.4,"DS_Tim",22518274,"observed","SWMM
","LA2"
117.9982,122.5421375,124.40595,131.7329875,141.36575,"DS_Mag_50",22518274,"observed","SWMM
","LA2"
134.624405,138.0270175,148.79697,177.39899,184.98486,"DS_Mag_90",22518274,"observed","SWMM
","LA2"
1.6,2.5,3,5,6.8,"FA_Dur",22518274,"observed","SWMM
","LA2"
326.47110636554,472.774277783026,760.905420351589,1498.46102017899,3379.61805782527,"FA_Mag",22518274,"observed","SWMM
","LA2"
3.6,4,8,13,22,"FA_Tim",22518274,"observed","SWMM
","LA2"
0.0137920529810116,0.0158808244150612,0.0234420125335671,0.0327452947647698,0.0383956150287701,"SP_ROC",22518274,"observed","SWMM
","LA2"
23.2,34.5,60,75.5,102.6,"SP_Dur",22518274,"observed","SWMM
","LA2"
967.1828,1364.38685,1616.297,8052.20015,12405.88458,"SP_Mag",22518274,"observed","SWMM
","LA2"
149.6,164.5,194,216.5,224.2,"SP_Tim",22518274,"observed","SWMM
","LA2"
45.5,82.5,120.5,166,179.5,"Wet_BFL_Dur",22518274,"observed","SWMM
","LA2"
117.585375,121.00052,132.11887,151.91217,157.674265,"Wet_BFL_Mag_10",22518274,"observed","SWMM
","LA2"
132.277475,135.505475,160.62725,189.131,207.069525,"Wet_BFL_Mag_50",22518274,"observed","SWMM
","LA2"
45.5,52,64,70,103,"Wet_Tim",22518274,"observed","SWMM
","LA2"
113,113,113,113,113,"Peak_Tim_10",22518274,"observed","SWMM
","LA2"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22518274,"observed","SWMM
","LA2"
82.4,87.5,96,104.5,109.6,"Peak_Tim_5",22518274,"observed","SWMM
","LA2"
1,1,1,1,1,"Peak_Dur_10",22518274,"observed","SWMM
","LA2"
1,1,2,3.5,4.4,"Peak_Dur_2",22518274,"observed","SWMM
","LA2"
1,1,1,1,1,"Peak_Dur_5",22518274,"observed","SWMM
","LA2"
20465.10708,20465.10708,20465.10708,20465.10708,20465.10708,"Peak_10",22518274,"observed","SWMM
","LA2"
7172.8921,7172.8921,7172.8921,7172.8921,7172.8921,"Peak_2",22518274,"observed","SWMM
","LA2"
16706.12674,16706.12674,16706.12674,16706.12674,16706.12674,"Peak_5",22518274,"observed","SWMM
","LA2"
1,1,1,1,1,"Peak_Fre_10",22518274,"observed","SWMM
","LA2"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22518274,"observed","SWMM
","LA2"
1,1,1,1,1,"Peak_Fre_5",22518274,"observed","SWMM
","LA2"
117,133.75,164.5,187.75,211,"DS_Dur_WS",22514906,"observed","SWMM
","LA20"
216,233.5,293,305,317,"DS_Tim",22514906,"observed","SWMM
","LA20"
1.784375,2.6052125,4.3597,6.399825,7.3362,"DS_Mag_50",22514906,"observed","SWMM
","LA20"
4.497505,6.113405,7.672275,9.684355,10.995895,"DS_Mag_90",22514906,"observed","SWMM
","LA20"
2,2.5,3,3,3.4,"FA_Dur",22514906,"observed","SWMM
","LA20"
26.1476232721432,45.6291668371871,128.354044584206,239.733115654525,471.715213293707,"FA_Mag",22514906,"observed","SWMM
","LA20"
4,4.5,8,13,21.6,"FA_Tim",22514906,"observed","SWMM
","LA20"
0.0823527893243551,0.087748653768902,0.118053050525455,0.143060816404331,0.179131606277837,"SP_ROC",22514906,"observed","SWMM
","LA20"
39.2,57,114,134.5,150.4,"SP_Dur",22514906,"observed","SWMM
","LA20"
220.51582,454.59135,1176.1255,2919.70785,3631.55216,"SP_Mag",22514906,"observed","SWMM
","LA20"
149.6,154.5,174,197,207.8,"SP_Tim",22514906,"observed","SWMM
","LA20"
51.5,81.25,111,125,159.5,"Wet_BFL_Dur",22514906,"observed","SWMM
","LA20"
0.716095,2.166185,5.83478,9.459905,10.61225,"Wet_BFL_Mag_10",22514906,"observed","SWMM
","LA20"
9.295025,12.4830375,13.70665,20.71385,25.799625,"Wet_BFL_Mag_50",22514906,"observed","SWMM
","LA20"
38.5,49.75,63.5,69.75,97,"Wet_Tim",22514906,"observed","SWMM
","LA20"
170,170,170,170,170,"Peak_Tim_10",22514906,"observed","SWMM
","LA20"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22514906,"observed","SWMM
","LA20"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22514906,"observed","SWMM
","LA20"
1,1,1,1,1,"Peak_Dur_10",22514906,"observed","SWMM
","LA20"
1,1,1.5,2.25,2.7,"Peak_Dur_2",22514906,"observed","SWMM
","LA20"
1,1,1,1,1,"Peak_Dur_5",22514906,"observed","SWMM
","LA20"
3631.55216,3631.55216,3631.55216,3631.55216,3631.55216,"Peak_10",22514906,"observed","SWMM
","LA20"
1282.6836,1282.6836,1282.6836,1282.6836,1282.6836,"Peak_2",22514906,"observed","SWMM
","LA20"
3238.99434,3238.99434,3238.99434,3238.99434,3238.99434,"Peak_5",22514906,"observed","SWMM
","LA20"
1,1,1,1,1,"Peak_Fre_10",22514906,"observed","SWMM
","LA20"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22514906,"observed","SWMM
","LA20"
1,1,1,1,1,"Peak_Fre_5",22514906,"observed","SWMM
","LA20"
145,168.25,186,198.5,213.5,"DS_Dur_WS",22515812,"observed","SWMM
","LA20_2"
216.2,228.5,239,271,305.4,"DS_Tim",22515812,"observed","SWMM
","LA20_2"
25.456325,27.622475,29.3678,32.719325,34.448275,"DS_Mag_50",22515812,"observed","SWMM
","LA20_2"
28.997535,31.794175,34.00342,36.71128,37.723895,"DS_Mag_90",22515812,"observed","SWMM
","LA20_2"
2.6,3,3,4.5,5.4,"FA_Dur",22515812,"observed","SWMM
","LA20_2"
66.7103251308782,86.4368679081589,199.702279534982,356.977982823124,717.123639005765,"FA_Mag",22515812,"observed","SWMM
","LA20_2"
4,4.5,8,13,21.6,"FA_Tim",22515812,"observed","SWMM
","LA20_2"
0.0245118673308599,0.0255883797530435,0.0293217031336099,0.0379475286051556,0.0453145594523812,"SP_ROC",22515812,"observed","SWMM
","LA20_2"
33.4,53.5,81,98,120.4,"SP_Dur",22515812,"observed","SWMM
","LA20_2"
381.57534,733.9885,1665.8224,4312.6259,5429.49208,"SP_Mag",22515812,"observed","SWMM
","LA20_2"
149.6,154.5,174,197,207.8,"SP_Tim",22515812,"observed","SWMM
","LA20_2"
47.5,82,111,124.25,158,"Wet_BFL_Dur",22515812,"observed","SWMM
","LA20_2"
19.15052,24.098165,25.13684,31.80953,35.30741,"Wet_BFL_Mag_10",22515812,"observed","SWMM
","LA20_2"
32.8135,36.60355,40.04265,46.481675,52.52465,"Wet_BFL_Mag_50",22515812,"observed","SWMM
","LA20_2"
39.5,49.75,64,69.25,101,"Wet_Tim",22515812,"observed","SWMM
","LA20_2"
170,170,170,170,170,"Peak_Tim_10",22515812,"observed","SWMM
","LA20_2"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22515812,"observed","SWMM
","LA20_2"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22515812,"observed","SWMM
","LA20_2"
1,1,1,1,1,"Peak_Dur_10",22515812,"observed","SWMM
","LA20_2"
1,1,1.5,2.25,2.7,"Peak_Dur_2",22515812,"observed","SWMM
","LA20_2"
1,1,1,1,1,"Peak_Dur_5",22515812,"observed","SWMM
","LA20_2"
5429.49208,5429.49208,5429.49208,5429.49208,5429.49208,"Peak_10",22515812,"observed","SWMM
","LA20_2"
1971.0187,1971.0187,1971.0187,1971.0187,1971.0187,"Peak_2",22515812,"observed","SWMM
","LA20_2"
4578.11552,4578.11552,4578.11552,4578.11552,4578.11552,"Peak_5",22515812,"observed","SWMM
","LA20_2"
1,1,1,1,1,"Peak_Fre_10",22515812,"observed","SWMM
","LA20_2"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22515812,"observed","SWMM
","LA20_2"
1,1,1,1,1,"Peak_Fre_5",22515812,"observed","SWMM
","LA20_2"
158,173.25,198,204,207,"DS_Dur_WS",22518110,"observed","SWMM
","LA3"
222.4,230,238,250,295.2,"DS_Tim",22518110,"observed","SWMM
","LA3"
117.187875,122.51895,124.31545,130.254275,140.26255,"DS_Mag_50",22518110,"observed","SWMM
","LA3"
134.3722,137.118175,146.55935,175.85718,183.51188,"DS_Mag_90",22518110,"observed","SWMM
","LA3"
1.6,2.5,3,5,6.8,"FA_Dur",22518110,"observed","SWMM
","LA3"
323.861786975206,455.472543588194,617.440209438742,1308.24545899867,3132.46065322087,"FA_Mag",22518110,"observed","SWMM
","LA3"
3.6,4,8,13,22,"FA_Tim",22518110,"observed","SWMM
","LA3"
0.0142460540944318,0.016303739720952,0.0220731234714677,0.0311892464012772,0.0389757584444974,"SP_ROC",22518110,"observed","SWMM
","LA3"
21.6,34,60,84,103,"SP_Dur",22518110,"observed","SWMM
","LA3"
825.61872,1198.94885,1531.2912,7465.3499,11428.87744,"SP_Mag",22518110,"observed","SWMM
","LA3"
149.6,164.5,194,216.5,224.2,"SP_Tim",22518110,"observed","SWMM
","LA3"
45.5,82.5,120.5,166,179.5,"Wet_BFL_Dur",22518110,"observed","SWMM
","LA3"
117.316965,120.2742825,131.471425,145.325615,152.881525,"Wet_BFL_Mag_10",22518110,"observed","SWMM
","LA3"
131.827125,135.281,156.31695,180.602125,187.594325,"Wet_BFL_Mag_50",22518110,"observed","SWMM
","LA3"
45.5,52,64,70,103,"Wet_Tim",22518110,"observed","SWMM
","LA3"
113,113,113,113,113,"Peak_Tim_10",22518110,"observed","SWMM
","LA3"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22518110,"observed","SWMM
","LA3"
82.4,87.5,96,104.5,109.6,"Peak_Tim_5",22518110,"observed","SWMM
","LA3"
1,1,1,1,1,"Peak_Dur_10",22518110,"observed","SWMM
","LA3"
1,1,2,3.5,4.4,"Peak_Dur_2",22518110,"observed","SWMM
","LA3"
1,1,1,1,1,"Peak_Dur_5",22518110,"observed","SWMM
","LA3"
18241.10646,18241.10646,18241.10646,18241.10646,18241.10646,"Peak_10",22518110,"observed","SWMM
","LA3"
6291.9491,6291.9491,6291.9491,6291.9491,6291.9491,"Peak_2",22518110,"observed","SWMM
","LA3"
14704.03884,14704.03884,14704.03884,14704.03884,14704.03884,"Peak_5",22518110,"observed","SWMM
","LA3"
1,1,1,1,1,"Peak_Fre_10",22518110,"observed","SWMM
","LA3"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22518110,"observed","SWMM
","LA3"
1,1,1,1,1,"Peak_Fre_5",22518110,"observed","SWMM
","LA3"
185.5,195.5,200.5,203.25,204,"DS_Dur_WS",22515036,"observed","SWMM
","LA8"
219.6,227,230,254.5,283,"DS_Tim",22515036,"observed","SWMM
","LA8"
94.1605,97.858475,99.92145,101.772625,102.40095,"DS_Mag_50",22515036,"observed","SWMM
","LA8"
105.219325,107.8645075,111.859775,115.50987,117.519735,"DS_Mag_90",22515036,"observed","SWMM
","LA8"
1,1.5,2,3,3.4,"FA_Dur",22515036,"observed","SWMM
","LA8"
290.745091359054,369.111820574673,405.495103250262,670.685142490643,1543.84528861926,"FA_Mag",22515036,"observed","SWMM
","LA8"
3.6,4,8,13,22,"FA_Tim",22515036,"observed","SWMM
","LA8"
0.0143203679124409,0.0165161787290414,0.0225532755923998,0.0354995238086096,0.0412446279091929,"SP_ROC",22515036,"observed","SWMM
","LA8"
18.6,30,59,83.5,91,"SP_Dur",22515036,"observed","SWMM
","LA8"
772.53388,1060.9443,3192.2843,8599.3524,10237.24192,"SP_Mag",22515036,"observed","SWMM
","LA8"
149.6,164,195,210,224.2,"SP_Tim",22515036,"observed","SWMM
","LA8"
47,88.25,128.5,168,183.5,"Wet_BFL_Dur",22515036,"observed","SWMM
","LA8"
92.48157,96.32996,105.82727,112.19606,119.7226,"Wet_BFL_Mag_10",22515036,"observed","SWMM
","LA8"
101.19365,107.070925,122.435825,133.2925125,144.381275,"Wet_BFL_Mag_50",22515036,"observed","SWMM
","LA8"
40.5,46.5,57,67.5,101.5,"Wet_Tim",22515036,"observed","SWMM
","LA8"
170,170,170,170,170,"Peak_Tim_10",22515036,"observed","SWMM
","LA8"
75,79.5,97.5,122.25,138.9,"Peak_Tim_2",22515036,"observed","SWMM
","LA8"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22515036,"observed","SWMM
","LA8"
1,1,1,1,1,"Peak_Dur_10",22515036,"observed","SWMM
","LA8"
1,1,2,3,3,"Peak_Dur_2",22515036,"observed","SWMM
","LA8"
1,1,1,1,1,"Peak_Dur_5",22515036,"observed","SWMM
","LA8"
10237.24192,10237.24192,10237.24192,10237.24192,10237.24192,"Peak_10",22515036,"observed","SWMM
","LA8"
4517.7136,4517.7136,4517.7136,4517.7136,4517.7136,"Peak_2",22515036,"observed","SWMM
","LA8"
8632.377,8632.377,8632.377,8632.377,8632.377,"Peak_5",22515036,"observed","SWMM
","LA8"
1,1,1,1,1,"Peak_Fre_10",22515036,"observed","SWMM
","LA8"
1,1,2,3,3,"Peak_Fre_2",22515036,"observed","SWMM
","LA8"
1,1,1,1,1,"Peak_Fre_5",22515036,"observed","SWMM
","LA8"
