ReportingNode,Metric,UBF,Percentile,Const,X.Coeff
F300,DS_Mag_50,UBF0,p10,0.276,0.928049117
F300,DS_Mag_50,UBF100,p10,7.26355,0.966680673
F300,DS_Mag_50,UBF50,p10,4.1941125,0.940722926
F300,DS_Mag_50,UBF0,p50,0.471433333,0.98607692
F300,DS_Mag_50,UBF100,p50,11.29384583,0.986576818
F300,DS_Mag_50,UBF50,p50,5.847429167,0.987978956
F300,DS_Mag_50,UBF0,p90,0.68965,1.037970368
F300,DS_Mag_50,UBF100,p90,14.53570417,1.040540404
F300,DS_Mag_50,UBF50,p90,7.900733333,1.032117102
F300,Wet_BFL_Mag_10,UBF0,p10,0.12743,0.860528401
F300,Wet_BFL_Mag_10,UBF100,p10,7.027331667,0.980941825
F300,Wet_BFL_Mag_10,UBF50,p10,4.167445,0.930211243
F300,Wet_BFL_Mag_10,UBF0,p50,0.389243333,0.972782287
F300,Wet_BFL_Mag_10,UBF100,p50,18.63536,0.93100753
F300,Wet_BFL_Mag_10,UBF50,p50,9.032590833,0.960537834
F300,Wet_BFL_Mag_10,UBF0,p90,0.866066667,1.00608897
F300,Wet_BFL_Mag_10,UBF100,p90,19.86147583,1.011108219
F300,Wet_BFL_Mag_10,UBF50,p90,10.91708417,1.010488686
F319,DS_Mag_50,UBF0,p10,3.091908333,0.901283573
F319,DS_Mag_50,UBF100,p10,47.57773333,1.041709256
F319,DS_Mag_50,UBF50,p10,25.605925,1.034157911
F319,DS_Mag_50,UBF0,p50,3.141541667,0.984314288
F319,DS_Mag_50,UBF100,p50,60.73215,0.944207167
F319,DS_Mag_50,UBF50,p50,31.61250833,0.978671712
F319,DS_Mag_50,UBF0,p90,3.3874875,1.09410519
F319,DS_Mag_50,UBF100,p90,76.10081667,0.966097251
F319,DS_Mag_50,UBF50,p90,39.77437917,0.971295609
F319,Wet_BFL_Mag_10,UBF0,p10,3.235050833,0.858052131
F319,Wet_BFL_Mag_10,UBF100,p10,47.9661075,0.937117617
F319,Wet_BFL_Mag_10,UBF50,p10,26.15097667,0.903019532
F319,Wet_BFL_Mag_10,UBF0,p50,3.5314475,0.968478183
F319,Wet_BFL_Mag_10,UBF100,p50,59.81131417,0.96643891
F319,Wet_BFL_Mag_10,UBF50,p50,33.0952125,0.954534473
F319,Wet_BFL_Mag_10,UBF0,p90,6.028019167,0.97194679
F319,Wet_BFL_Mag_10,UBF100,p90,81.28570917,1.011980674
F319,Wet_BFL_Mag_10,UBF50,p90,43.57289917,0.99074185
F34D,DS_Mag_50,UBF0,p10,3.046120833,0.900674904
F34D,DS_Mag_50,UBF100,p10,45.98494583,1.047101796
F34D,DS_Mag_50,UBF50,p10,27.726725,0.9864586
F34D,DS_Mag_50,UBF0,p50,3.118075,0.983705477
F34D,DS_Mag_50,UBF100,p50,57.66604167,0.985349199
F34D,DS_Mag_50,UBF50,p50,30.4305125,0.977739388
F34D,DS_Mag_50,UBF0,p90,3.273470833,1.095089887
F34D,DS_Mag_50,UBF100,p90,75.2061,0.928237635
F34D,DS_Mag_50,UBF50,p90,39.109675,0.947041876
F34D,Wet_BFL_Mag_10,UBF0,p10,3.113899167,0.855259884
F34D,Wet_BFL_Mag_10,UBF100,p10,45.0118375,0.958747196
F34D,Wet_BFL_Mag_10,UBF50,p10,25.23959167,0.9018672
F34D,Wet_BFL_Mag_10,UBF0,p50,3.546828333,0.955932799
F34D,Wet_BFL_Mag_10,UBF100,p50,52.49624917,0.908705231
F34D,Wet_BFL_Mag_10,UBF50,p50,28.1172725,0.951978963
F34D,Wet_BFL_Mag_10,UBF0,p90,4.656798333,0.97639256
F34D,Wet_BFL_Mag_10,UBF100,p90,67.28356583,1.014211293
F34D,Wet_BFL_Mag_10,UBF50,p90,35.97015417,1.000752292
F45B,DS_Mag_50,UBF0,p10,0.0149,NA
F45B,DS_Mag_50,UBF100,p10,0.0149,NA
F45B,DS_Mag_50,UBF50,p10,0.0149,NA
F45B,DS_Mag_50,UBF0,p50,0.025,NA
F45B,DS_Mag_50,UBF100,p50,0.025,NA
F45B,DS_Mag_50,UBF50,p50,0.025,NA
F45B,DS_Mag_50,UBF0,p90,0.06,NA
F45B,DS_Mag_50,UBF100,p90,0.06,NA
F45B,DS_Mag_50,UBF50,p90,0.06,NA
F45B,Wet_BFL_Mag_10,UBF0,p10,0,NA
F45B,Wet_BFL_Mag_10,UBF100,p10,0,NA
F45B,Wet_BFL_Mag_10,UBF50,p10,0,NA
F45B,Wet_BFL_Mag_10,UBF0,p50,0.01842,NA
F45B,Wet_BFL_Mag_10,UBF100,p50,0.01842,NA
F45B,Wet_BFL_Mag_10,UBF50,p50,0.01842,NA
F45B,Wet_BFL_Mag_10,UBF0,p90,0.402275,NA
F45B,Wet_BFL_Mag_10,UBF100,p90,0.402275,NA
F45B,Wet_BFL_Mag_10,UBF50,p90,0.402275,NA
F57C,DS_Mag_50,UBF0,p10,3.047520833,0.897801911
F57C,DS_Mag_50,UBF100,p10,14.54218333,0.89005516
F57C,DS_Mag_50,UBF50,p10,8.846525,0.892765208
F57C,DS_Mag_50,UBF0,p50,3.120866667,0.982749468
F57C,DS_Mag_50,UBF100,p50,17.97090833,0.989640902
F57C,DS_Mag_50,UBF50,p50,10.62919167,0.979966816
F57C,DS_Mag_50,UBF0,p90,3.4333625,1.079492919
F57C,DS_Mag_50,UBF100,p90,22.19665,1.037912797
F57C,DS_Mag_50,UBF50,p90,12.84465833,1.05604893
F57C,Wet_BFL_Mag_10,UBF0,p10,3.058119167,0.852257928
F57C,Wet_BFL_Mag_10,UBF100,p10,10.978185,0.881417614
F57C,Wet_BFL_Mag_10,UBF50,p10,7.166420833,0.874890528
F57C,Wet_BFL_Mag_10,UBF0,p50,3.502015,0.947470993
F57C,Wet_BFL_Mag_10,UBF100,p50,23.96259083,0.948853009
F57C,Wet_BFL_Mag_10,UBF50,p50,15.12298333,0.957124501
F57C,Wet_BFL_Mag_10,UBF0,p90,3.948730833,0.977697646
F57C,Wet_BFL_Mag_10,UBF100,p90,32.91256333,0.985874856
F57C,Wet_BFL_Mag_10,UBF50,p90,19.011625,0.986937155
GLEN,DS_Mag_50,UBF0,p10,0.1044875,0.89905345
GLEN,DS_Mag_50,UBF100,p10,10.1340875,0.926710396
GLEN,DS_Mag_50,UBF50,p10,5.883995833,0.894910095
GLEN,DS_Mag_50,UBF0,p50,0.1272375,0.983284118
GLEN,DS_Mag_50,UBF100,p50,13.93183333,0.967488459
GLEN,DS_Mag_50,UBF50,p50,7.752445833,0.979440158
GLEN,DS_Mag_50,UBF0,p90,0.487341667,1.07843565
GLEN,DS_Mag_50,UBF100,p90,18.66069167,1.047499443
GLEN,DS_Mag_50,UBF50,p90,9.889066667,1.053906043
GLEN,Wet_BFL_Mag_10,UBF0,p10,0.064108333,0.876925846
GLEN,Wet_BFL_Mag_10,UBF100,p10,10.09376,0.860937216
GLEN,Wet_BFL_Mag_10,UBF50,p10,4.958306667,0.897509193
GLEN,Wet_BFL_Mag_10,UBF0,p50,0.3830925,0.947159945
GLEN,Wet_BFL_Mag_10,UBF100,p50,20.7794625,0.946941777
GLEN,Wet_BFL_Mag_10,UBF50,p50,11.89263083,0.957270057
GLEN,Wet_BFL_Mag_10,UBF0,p90,0.68509,0.979851782
GLEN,Wet_BFL_Mag_10,UBF100,p90,29.6912475,0.986631974
GLEN,Wet_BFL_Mag_10,UBF50,p90,15.78162833,0.987411229
LA1,DS_Mag_50,UBF0,p10,3.091908333,0.901283573
LA1,DS_Mag_50,UBF100,p10,47.59208333,1.041709256
LA1,DS_Mag_50,UBF50,p10,25.6136,1.034124566
LA1,DS_Mag_50,UBF0,p50,3.141541667,0.984314288
LA1,DS_Mag_50,UBF100,p50,60.6813375,0.945110794
LA1,DS_Mag_50,UBF50,p50,31.609775,0.978914754
LA1,DS_Mag_50,UBF0,p90,3.3872625,1.094125197
LA1,DS_Mag_50,UBF100,p90,76.14559167,0.965330335
LA1,DS_Mag_50,UBF50,p90,39.79859167,0.971138891
LA1,Wet_BFL_Mag_10,UBF0,p10,3.2350975,0.858052131
LA1,Wet_BFL_Mag_10,UBF100,p10,47.9661175,0.937117617
LA1,Wet_BFL_Mag_10,UBF50,p10,26.15097667,0.903019532
LA1,Wet_BFL_Mag_10,UBF0,p50,3.5357975,0.968408499
LA1,Wet_BFL_Mag_10,UBF100,p50,59.81284833,0.966421355
LA1,Wet_BFL_Mag_10,UBF50,p50,33.0952125,0.954534473
LA1,Wet_BFL_Mag_10,UBF0,p90,6.028019167,0.97194679
LA1,Wet_BFL_Mag_10,UBF100,p90,80.53495667,1.032180304
LA1,Wet_BFL_Mag_10,UBF50,p90,43.57101167,0.990909053
LA11,DS_Mag_50,UBF0,p10,1.424358333,0.907889678
LA11,DS_Mag_50,UBF100,p10,11.52630833,0.930843111
LA11,DS_Mag_50,UBF50,p10,7.2325,0.90223211
LA11,DS_Mag_50,UBF0,p50,1.500695833,0.992023466
LA11,DS_Mag_50,UBF100,p50,15.44792917,0.973963833
LA11,DS_Mag_50,UBF50,p50,9.043575,0.989164012
LA11,DS_Mag_50,UBF0,p90,1.8197125,1.089356377
LA11,DS_Mag_50,UBF100,p90,20.4734875,1.049714502
LA11,DS_Mag_50,UBF50,p90,11.226575,1.065409896
LA11,Wet_BFL_Mag_10,UBF0,p10,1.508924167,0.877071002
LA11,Wet_BFL_Mag_10,UBF100,p10,11.55949583,0.860520285
LA11,Wet_BFL_Mag_10,UBF50,p10,6.434245833,0.897710758
LA11,Wet_BFL_Mag_10,UBF0,p50,1.847085,0.946765283
LA11,Wet_BFL_Mag_10,UBF100,p50,22.2417125,0.949244137
LA11,Wet_BFL_Mag_10,UBF50,p50,13.37696167,0.955005103
LA11,Wet_BFL_Mag_10,UBF0,p90,2.207846667,0.979230885
LA11,Wet_BFL_Mag_10,UBF100,p90,31.13563917,0.987035771
LA11,Wet_BFL_Mag_10,UBF50,p90,17.2935775,0.98712005
LA13,DS_Mag_50,UBF0,p10,-0.017754167,0.908978535
LA13,DS_Mag_50,UBF100,p10,9.948929167,0.947863587
LA13,DS_Mag_50,UBF50,p10,5.883629167,0.905915298
LA13,DS_Mag_50,UBF0,p50,0.200066667,0.972687005
LA13,DS_Mag_50,UBF100,p50,13.96735,0.941584233
LA13,DS_Mag_50,UBF50,p50,7.3975,0.944951348
LA13,DS_Mag_50,UBF0,p90,0.2375625,1.069487095
LA13,DS_Mag_50,UBF100,p90,18.70959583,1.037973193
LA13,DS_Mag_50,UBF50,p90,9.854983333,1.035549228
LA13,Wet_BFL_Mag_10,UBF0,p10,0.016876667,0.877785532
LA13,Wet_BFL_Mag_10,UBF100,p10,9.995950833,0.912267194
LA13,Wet_BFL_Mag_10,UBF50,p10,5.1134525,0.932263661
LA13,Wet_BFL_Mag_10,UBF0,p50,0.354046667,0.967654362
LA13,Wet_BFL_Mag_10,UBF100,p50,20.3473675,1.044951905
LA13,Wet_BFL_Mag_10,UBF50,p50,11.91698917,0.98545207
LA13,Wet_BFL_Mag_10,UBF0,p90,0.621583333,1.007369839
LA13,Wet_BFL_Mag_10,UBF100,p90,29.68133667,0.951862105
LA13,Wet_BFL_Mag_10,UBF50,p90,16.0536325,0.971300463
LA14,DS_Mag_50,UBF0,p10,0.170541667,0.917579994
LA14,DS_Mag_50,UBF100,p10,9.44955,0.933086395
LA14,DS_Mag_50,UBF50,p10,4.9495625,0.9201991
LA14,DS_Mag_50,UBF0,p50,0.383633333,0.983570629
LA14,DS_Mag_50,UBF100,p50,13.252875,0.939838355
LA14,DS_Mag_50,UBF50,p50,7.4905875,0.954723378
LA14,DS_Mag_50,UBF0,p90,0.543754167,1.070049625
LA14,DS_Mag_50,UBF100,p90,17.64607083,1.060362403
LA14,DS_Mag_50,UBF50,p90,9.186495833,1.050201659
LA14,Wet_BFL_Mag_10,UBF0,p10,0.1094,0.8781502
LA14,Wet_BFL_Mag_10,UBF100,p10,8.310695,0.960058025
LA14,Wet_BFL_Mag_10,UBF50,p10,4.453468333,0.933078215
LA14,Wet_BFL_Mag_10,UBF0,p50,0.443888333,0.968354829
LA14,Wet_BFL_Mag_10,UBF100,p50,18.47411667,1.021539367
LA14,Wet_BFL_Mag_10,UBF50,p50,10.76044583,0.986910146
LA14,Wet_BFL_Mag_10,UBF0,p90,0.7274475,1.00785122
LA14,Wet_BFL_Mag_10,UBF100,p90,26.46640083,0.964623357
LA14,Wet_BFL_Mag_10,UBF50,p90,14.34901,0.965180208
LA2,DS_Mag_50,UBF0,p10,3.091908333,0.901283573
LA2,DS_Mag_50,UBF100,p10,47.57773333,1.041709256
LA2,DS_Mag_50,UBF50,p10,25.611725,1.034157911
LA2,DS_Mag_50,UBF0,p50,3.141541667,0.984314288
LA2,DS_Mag_50,UBF100,p50,60.73215,0.944207167
LA2,DS_Mag_50,UBF50,p50,31.609775,0.978914754
LA2,DS_Mag_50,UBF0,p90,3.387308333,1.094121121
LA2,DS_Mag_50,UBF100,p90,76.14559167,0.965330335
LA2,DS_Mag_50,UBF50,p90,39.77662917,0.971854309
LA2,Wet_BFL_Mag_10,UBF0,p10,3.2350975,0.858052131
LA2,Wet_BFL_Mag_10,UBF100,p10,47.9661075,0.937117617
LA2,Wet_BFL_Mag_10,UBF50,p10,26.15097667,0.903019532
LA2,Wet_BFL_Mag_10,UBF0,p50,3.5357975,0.968408499
LA2,Wet_BFL_Mag_10,UBF100,p50,59.81131417,0.96643891
LA2,Wet_BFL_Mag_10,UBF50,p50,33.0952125,0.954534473
LA2,Wet_BFL_Mag_10,UBF0,p90,6.028019167,0.97194679
LA2,Wet_BFL_Mag_10,UBF100,p90,81.7953725,1.011980674
LA2,Wet_BFL_Mag_10,UBF50,p90,43.57187417,0.990823949
LA20,DS_Mag_50,UBF0,p10,0,NA
LA20,DS_Mag_50,UBF100,p10,1.78435,NA
LA20,DS_Mag_50,UBF50,p10,0.850175,NA
LA20,DS_Mag_50,UBF0,p50,0,NA
LA20,DS_Mag_50,UBF100,p50,4.35965,NA
LA20,DS_Mag_50,UBF50,p50,2.28175,NA
LA20,DS_Mag_50,UBF0,p90,0,NA
LA20,DS_Mag_50,UBF100,p90,7.33615,NA
LA20,DS_Mag_50,UBF50,p90,3.659225,NA
LA20,Wet_BFL_Mag_10,UBF0,p10,0,NA
LA20,Wet_BFL_Mag_10,UBF100,p10,0.694055,NA
LA20,Wet_BFL_Mag_10,UBF50,p10,0.36991,NA
LA20,Wet_BFL_Mag_10,UBF0,p50,0,NA
LA20,Wet_BFL_Mag_10,UBF100,p50,5.83469,NA
LA20,Wet_BFL_Mag_10,UBF50,p50,3.1669,NA
LA20,Wet_BFL_Mag_10,UBF0,p90,0,NA
LA20,Wet_BFL_Mag_10,UBF100,p90,10.61221,NA
LA20,Wet_BFL_Mag_10,UBF50,p90,5.59773,NA
LA20_2,DS_Mag_50,UBF0,p10,-1.25E-04,0.513876704
LA20_2,DS_Mag_50,UBF100,p10,1.815616667,0.519689233
LA20_2,DS_Mag_50,UBF50,p10,0.948933333,0.521129145
LA20_2,DS_Mag_50,UBF0,p50,0.002733333,0.542519604
LA20_2,DS_Mag_50,UBF100,p50,5.087658333,0.534812164
LA20_2,DS_Mag_50,UBF50,p50,2.592645833,0.547709126
LA20_2,DS_Mag_50,UBF0,p90,-0.0047375,0.584322771
LA20_2,DS_Mag_50,UBF100,p90,8.117025,0.580649178
LA20_2,DS_Mag_50,UBF50,p90,4.294695833,0.57498042
LA20_2,Wet_BFL_Mag_10,UBF0,p10,-5.83E-06,0.145346367
LA20_2,Wet_BFL_Mag_10,UBF100,p10,1.828201667,0.407757298
LA20_2,Wet_BFL_Mag_10,UBF50,p10,1.494975,0.277663796
LA20_2,Wet_BFL_Mag_10,UBF0,p50,0.1738525,0.457943398
LA20_2,Wet_BFL_Mag_10,UBF100,p50,6.6104325,0.410846153
LA20_2,Wet_BFL_Mag_10,UBF50,p50,3.42063,0.447651127
LA20_2,Wet_BFL_Mag_10,UBF0,p90,0.067743333,0.538104822
LA20_2,Wet_BFL_Mag_10,UBF100,p90,12.33947083,0.513839749
LA20_2,Wet_BFL_Mag_10,UBF50,p90,6.24219,0.513303864
LA3,DS_Mag_50,UBF0,p10,3.075233333,0.901405241
LA3,DS_Mag_50,UBF100,p10,46.79517917,1.042687165
LA3,DS_Mag_50,UBF50,p10,25.05909583,1.040012596
LA3,DS_Mag_50,UBF0,p50,3.145716667,0.98395374
LA3,DS_Mag_50,UBF100,p50,59.96059167,0.956985728
LA3,DS_Mag_50,UBF50,p50,31.400025,0.968148662
LA3,DS_Mag_50,UBF0,p90,3.374066667,1.096772517
LA3,DS_Mag_50,UBF100,p90,75.7452,0.952707456
LA3,DS_Mag_50,UBF50,p90,39.556075,0.964219439
LA3,Wet_BFL_Mag_10,UBF0,p10,3.183428333,0.8571592
LA3,Wet_BFL_Mag_10,UBF100,p10,47.49228083,0.937927289
LA3,Wet_BFL_Mag_10,UBF50,p10,25.95855583,0.898929986
LA3,Wet_BFL_Mag_10,UBF0,p50,3.572595,0.964739136
LA3,Wet_BFL_Mag_10,UBF100,p50,58.46104083,0.973711737
LA3,Wet_BFL_Mag_10,UBF50,p50,32.39902333,0.957037411
LA3,Wet_BFL_Mag_10,UBF0,p90,5.7195825,0.973521175
LA3,Wet_BFL_Mag_10,UBF100,p90,76.851375,1.007554206
LA3,Wet_BFL_Mag_10,UBF50,p90,40.58397417,0.997026821
LA8,DS_Mag_50,UBF0,p10,3.057025,0.896364706
LA8,DS_Mag_50,UBF100,p10,30.05895,0.94919033
LA8,DS_Mag_50,UBF50,p10,16.7204625,0.932926876
LA8,DS_Mag_50,UBF0,p50,3.1217625,0.98115916
LA8,DS_Mag_50,UBF100,p50,31.1370875,1.019089346
LA8,DS_Mag_50,UBF50,p50,17.98511667,0.973742137
LA8,DS_Mag_50,UBF0,p90,3.267441667,1.093362021
LA8,DS_Mag_50,UBF100,p90,37.59924167,0.952874618
LA8,DS_Mag_50,UBF50,p90,20.37110417,1.007086011
LA8,Wet_BFL_Mag_10,UBF0,p10,3.061306667,0.85220692
LA8,Wet_BFL_Mag_10,UBF100,p10,25.76847417,0.892690507
LA8,Wet_BFL_Mag_10,UBF50,p10,14.7007375,0.873011702
LA8,Wet_BFL_Mag_10,UBF0,p50,3.518124167,0.949074777
LA8,Wet_BFL_Mag_10,UBF100,p50,35.18869333,0.943473969
LA8,Wet_BFL_Mag_10,UBF50,p50,19.79871333,0.943139384
LA8,Wet_BFL_Mag_10,UBF0,p90,4.126330833,0.977142093
LA8,Wet_BFL_Mag_10,UBF100,p90,44.84001417,0.992434213
LA8,Wet_BFL_Mag_10,UBF50,p90,25.3409675,0.993837366
